"TÜRKİYE KATILIM BANKALARI ÜRÜN, KÂR PAYI VE FİNANSMAN KARSILASTIRMA TABLOSU",,,,,,
"TOM Bank, Türkiye Emlak Katılım, Türkiye Finans, Vakıf Katılım, Ziraat Katılım, Adil Katılım, Albaraka Türk, Dünya Katılım, Hayat Finans, Kuveyt Türk",,,,,,
,,,,,,
Banka,Ürün Kategorisi,Ürün / Detay,Oran (Aylık/Yıllık),Vade,Finansman / Bakiye Tutarı,Ödül / Ek Avantaj
Adil Katılım,KOBİ / Ticari Finansman,Dijital Mikro Ticari Finansman,Proje / Risk Bazlı,3 - 36 Ay,KOBİ Limitlerine Göre,API Entegrasyonlu Ticaret Desteği
Albaraka Türk,Katılma Hesabı,Bereketli Katılma Hesabı,%32.00 - %38.50 (Yıllık),31 - 365 Gün,Min. 10.000 TL,%90 Katılım Havuzu Payı
Albaraka Türk,Konut Finansmanı,Düşlerimin Evi / Konut Finansmanı,%3.39 - %3.69 (Aylık),12 - 120 Ay,Ekspertiz Değerinin %80'i,Esnek Taksit Ödeme Seçeneği
Albaraka Türk,Taşıt Finansmanı,Düşlerimin Arabası Finansmanı,%3.65 - %3.99 (Aylık),12 - 48 Ay,Fatura / Kasko Değerine Göre,Kasko Kampanyası & Hızlı Onay
Albaraka Türk,İhtiyaç Finansmanı,Hızlı Bireysel İhtiyaç Finansmanı,%3.75 - %4.10 (Aylık),1 - 36 Ay,1.000 TL - 500.000 TL,Worldcard Puan Kazancı
Albaraka Türk,KOBİ / Ticari Finansman,Ticari Taksitli / İhracat Finansmanı,Özel Skorlama / Libor-TRLIBOR,3 - 60 Ay,Proje Bazlı Sınırsız,KGF Destekli & MÜSİAD İndirimi
Dünya Katılım,Katılma Hesabı,Standart Katılma Hesabı (Ön Hazırlık),Havuz Getiri Paylı,1 - 12 Ay,Esnek Limit,Dijital Bankacılık Sıfır Ücret
Dünya Katılım,İhtiyaç Finansmanı,Dijital İhtiyaç Finansmanı,%3.85 - %4.15 (Tahmini Aylık),1 - 36 Ay,5.000 TL - 200.000 TL,Mobil Ön Başvuru Kolaylığı
Dünya Katılım,KOBİ / Ticari Finansman,KOBİ Tedarik Finansmanı,Piyasa Endeksli,3 - 36 Ay,Fatura Büyüklüğüne Göre,Tedarik Zinciri Finansmanı Esnekliği
Hayat Finans,Katılma Hesabı,Mobil Katılma Hesabı,%40.00 - %45.00 (Yıllık Brüt Tahmini),Günlük / 31 - 180 Gün,1 TL - 1.000.000 TL+,Tamamen Ücretsiz EFT/FAST/EFT
Hayat Finans,Konut Finansmanı,Dijital Konut Finansmanı,%3.45 - %3.75 (Aylık),12 - 120 Ay,BDDK Limitleri / %80'e Kadar,Şubesiz Evden Başvuru & Dosya Masrafsız
Hayat Finans,Taşıt Finansmanı,Dijital Taşıt Finansmanı,%3.69 - %3.99 (Aylık),12 - 48 Ay,Fatura / Kasko Tutarına Göre,"Sıfır Evrak, Mobil Onay"
Hayat Finans,İhtiyaç Finansmanı,Anında İhtiyaç Finansmanı,%3.79 - %4.09 (Aylık),1 - 36 Ay,1.000 TL - 300.000 TL,Hayat Finans Kart İndirimleri
Hayat Finans,KOBİ / Ticari Finansman,Dijital Şahıs Şirketi & KOBİ Finansmanı,Risk Skoru Bazlı,1 - 36 Ay,500.000 TL'ye Kadar Dijital Limit,Ücretsiz Pos & Ticari İşlem Avantajı
Kuveyt Türk,Katılma Hesabı,Dönüşümlü Katılma / Klasik Katılma,%30.00 - %36.50 (Yıllık),1 - 12 Ay,Min. 1.000 TL,Sağlam Kart Bonus Puan İmkânı
Kuveyt Türk,Konut Finansmanı,Prestij Konut / Standart Konut,%3.29 - %3.59 (Aylık),1 - 120 Ay,Ekspertiz Değerinin %80-%90'ı,Kentsel Dönüşüm Özel Desteği
Kuveyt Türk,Taşıt Finansmanı,Araç Finansmanı (0 KM & 2. El),%3.55 - %3.85 (Aylık),1 - 48 Ay,Kasko / Fatura Değerine Göre,Yerli Elektrikli Araç Özel Oranı
Kuveyt Türk,İhtiyaç Finansmanı,Cebimden İhtiyaç Finansmanı,%3.69 - %3.99 (Aylık),1 - 36 Ay,1.000 TL - 500.000 TL,Taksitli Harcama / Eğitim İndirimi
Kuveyt Türk,KOBİ / Ticari Finansman,Ticari Taksitli & İmalatçı Finansmanı,Müşteri / Teminat Bazlı,3 - 60 Ay,Proje Bazlı Esnek Limit,"KGF, Eximbank Destekleri & Leasing"
